Paikkakunta;Teatterinimi;Salit;Omistaja;Paikat;Osoite
Ahvenanmaa;BIO SAVOY;Bio Savoy;Filmhuset Bio Savoy Ab;287;Nygatan 14, 22100 Mariehamn
Akaa;TOIJALAN KINO;Toijalan Kino;TMB Cinema Oy;196;Pätsiniementie 9, 37800 Akaa
Alajärvi;ALAREKSI;Alareksi;Alareksi Ky;100;Sairaalatie 3 C, 62900 Alajärvi 
Alavus;KINO KYNTÄJÄ;Kino Kyntäjä;Alavuden kaupunki;53;Järviluomantie 5, 63300 Alavus
Enontekiö;KINO HETTA;Kino Hetta;Enontekiön kunta;66;Peuratie 15, 99400 Enontekiö
Espoo;KANNUSALI;Kannusali;Espoon kulttuuripalvelut ;245;Kannusillankatu 4, 02770 Espoo
Espoo;OMENA;Omena 1;Finnkino Oy;201;Piispansilta 11, 02230 Espoo
Espoo;OMENA;Omena 2;Finnkino Oy;118;Piispansilta 11, 02230 Espoo
Espoo;OMENA;Omena 3;Finnkino Oy;94;Piispansilta 11, 02230 Espoo
Espoo;SELLO;Sello 1;Finnkino Oy;276;Ratsukatu 3, 02600 Espoo
Espoo;SELLO;Sello 2;Finnkino Oy;95;Ratsukatu 3, 02600 Espoo
Espoo;SELLO;Sello 3;Finnkino Oy;161;Ratsukatu 3, 02600 Espoo
Espoo;SELLO;Sello 4;Finnkino Oy;111;Ratsukatu 3, 02600 Espoo
Espoo;SELLO;Sello 5;Finnkino Oy;142;Ratsukatu 3, 02600 Espoo
Espoo;SELLO;Sello 6;Finnkino Oy;32;Ratsukatu 3, 02600 Espoo
Espoo;KINO TAPIOLA;Kino Tapiola;Ciné Tapiola Oy;194;Mäntyviita 2, 02110 Espoo
Eura;KAUTTUAN KUVA;Kauttuan Kuva Sali 1;Kuva-Tähti Oy;58;Creutzintie 2, 27500 Kauttua
Eura;KAUTTUAN KUVA;Kauttuan Kuva Sali 2;Kuva-Tähti Oy;52;Creutzintie 2, 27500 Kauttua
Forssa;BIO-KAARI;Bio-Kaari;Elokuvateatteri Bio-Kaari ry;194;Torikatu 10, 30100 Forssa
Forssa;FORSSAN ELÄVIENKUVIEN TEATTERI;Forssan Elävienkuvien Teatteri;Forssan Mykkäelokuva-yhdistys ry;76;Keskuskatu 1, 30100 Forssa
Hamina;KINO HAMINA;Kino Hamina;Haminan Kaupunki;144;Isoympyräkatu 4, 49400 Hamina
Hanko;KINO OLYMPIA;Kino Olympia;Tmi KA-MOVIE;206;Vuorikatu 11, 10900 Hanko
Harjavalta;KINO HUOVI;Kino Huovi;?;160;Harjavallankatu 33, 29200 Harjavalta
Heinola;ELO;Elo;TMB Cinema Oy ;180;Kauppakatu 16, 18100 Heinola
Helsinki;KINO ENGEL;Kino Engel 1;Oy Cinema Mondo Ltd;94;Sofiankatu 4, 00101 Helsinki
Helsinki;KINO ENGEL;Kino Engel 2;Oy Cinema Mondo Ltd;76;Sofiankatu 4, 00101 Helsinki
Helsinki;KESÄKINO ENGEL;Kesäkino Engel;Oy Cinema Mondo Ltd;65;Sofiankatu 4, 00101 Helsinki
Helsinki;KINO HELIOS;Kino Helios;Helsingin kulttuurikeskus;120;Ala-Malmin tori 1, 00700 Helsinki
Helsinki;KINO K13;Kino K13;Suomen elokuvasäätiö;150;Kanavakatu 12, 00160 Helsinki
Helsinki;KINO TULIO;Kino Tulio;Kansallinen audiovisuaalinen instituutti;57;Sörnäisten rantatie 25, 00500 Helsinki
Helsinki;ORION;Orion;Kansallinen audiovisuaalinen instituutti;216;Eerikinkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 1;Finnkino Oy;703;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 2;Finnkino Oy;346;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 3;Finnkino Oy;346;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 4;Finnkino Oy;92;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 5;Finnkino Oy;103;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 6;Finnkino Oy;143;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 7;Finnkino Oy;121;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 8;Finnkino Oy;123;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 9;Finnkino Oy;144;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 10;Finnkino Oy;110;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 11;Finnkino Oy;124;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 12;Finnkino Oy;130;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 13;Finnkino Oy;112;Salomonkatu 15, 00100 Helsinki
Helsinki;TENNISPALATSI;Tennispalatsi 14;Finnkino Oy;99;Salomonkatu 15, 00100 Helsinki
Helsinki;KINOPALATSI;Kinopalatsi 1;Finnkino Oy;359;Kaisaniemenkatu 2, 00100 Helsinki
Helsinki;KINOPALATSI;Kinopalatsi 2;Finnkino Oy;264;Kaisaniemenkatu 2, 00100 Helsinki
Helsinki;KINOPALATSI;Kinopalatsi 3;Finnkino Oy;75;Kaisaniemenkatu 2, 00100 Helsinki
Helsinki;KINOPALATSI;Kinopalatsi 4;Finnkino Oy;75;Kaisaniemenkatu 2, 00100 Helsinki
Helsinki;KINOPALATSI;Kinopalatsi 5;Finnkino Oy;144;Kaisaniemenkatu 2, 00100 Helsinki
Helsinki;KINOPALATSI;Kinopalatsi 6;Finnkino Oy;86;Kaisaniemenkatu 2, 00100 Helsinki
Helsinki;KINOPALATSI;Kinopalatsi 7;Finnkino Oy;182;Kaisaniemenkatu 2, 00100 Helsinki
Helsinki;KINOPALATSI;Kinopalatsi 8;Finnkino Oy;94;Kaisaniemenkatu 2, 00100 Helsinki
