NIMI;ALKUPERÄISNIMI;ENSI-ILTA;KUMULATIIVISET KATSOJAT;LEVITTÄJÄ;MAANIMI
Eila, Rampe ja Likka;Eila, Rampe ja Likka;26.12.2014;25 324;Nordisk Film Theatrical Distribution Oy;SUOMI
Exodus: Gods and Kings;Exodus: Gods and Kings;26.12.2014;27 576;FS Film Oy;ENGLANTI-USA
Madagascarin pingviinit;Penguins of Madagascar;26.12.2014;85 913;FS Film Oy;USA
Päin seinää;Päin seinää;26.12.2014;22 217;FS Film Oy;SUOMI
The Good Lie;The Good Lie;26.12.2014;3 700;Finnkino Oy;KENIA-INTIA-USA
Chef;Chef;19.12.2014;3 156;The Walt Disney Company Nordic;USA
Helinä-keiju ja Mikä-mikä-hirviön arvoitus;Tinkerbell: Legedf of the Neverbeast;19.12.2014;23 833;The Walt Disney Company Nordic;USA
Mr. Turner;MR. Turner;19.12.2014;6 366;FS Film Oy;UK-RANSKA
Sune i fjällen;Sune i fjällen;19.12.2014;5 083;Isla Sales;RUOTSI
Aatsinki: The Story of Arctic Cowboys;Aatsinki: The Story of Arctic Cowboys;12.12.2014;838;SUOMEN Elokuvakontakti R;USA-SUOMI
French Riviera;L'homme qu'on aimait trop;12.12.2014;2 369;Cinemanse;RANSKA
The Kingdom of Dreams and Madness;Yume to kyôki no ôkoku;12.12.2014;717;Cinema Mondo Oy;JAPANI
Hobitti - Viiden armeijan taistelu;The Hobbit: The Battle of the Five Armies;10.12.2014;359 119;FS Film Oy;USA
Maps to the Stars;Maps to the Stars;5.12.2014;4 005;Future Film;USA
Wish I Was Here;Wish I Was Here;5.12.2014;1 491;Snapper Films Distribution;USA
Nightmare 2 - Painajainen jatkuu;Nightmare 2 - Painajainen jatkuu;3.12.2014;68 519;FS Film Oy;SUOMI
'71;'71;28.11.2014;1 835;Atlantic Film Oy;ENGLANTI
Autolla Nepaliin - Unelmien elokuva;Autolla Nepaliin - Unelmien elokuva;28.11.2014;11 080;Black Lion Independent;SUOMI
Krokotiilin keltaiset silmät;Les yeux jaunes des crocodiles;28.11.2014;2 647;Cinemanse;RANSKA-ESPANJA
The Judge;The Judge;28.11.2014;8 252;FS Film Oy;USA
Tusen bitar;Tusen bitar;28.11.2014;233;Kinoscreen Illusion;RUOTSI
Kaksi päivää, yksi yö;Deux jours, une nuit;21.11.2014;8 353;Cinema Mondo Oy;BELGIA-RANSKA
Tuulensieppaajat;Tuulensieppaajat;21.11.2014;466;Pirkanmaan Elokuvakeskus;SUOMI
Nälkäpeli - Matkijanärhi, osa 1;The Hunger Games: Mockingjay - Part 1;19.11.2014;172 018;Nordisk Film Theatrical Distribution Oy;USA
Elämän tanssi;La danza de la realidad;14.11.2014;2 366;Cinema Mondo Oy;CHILE-RANSKA
My Little Pony: Equestria Girls - Rainbow Rocks;My Little Pony: Equestria Girls - Rainbow Rocks;14.11.2014;5 281;Vl-Media;USA-KANADA
The Homesman;The Homesman;14.11.2014;3 766;Finnkino Oy;RANSKA-USA
Nuija ja tosinuija kaks;Dumb and dumber To;12.11.2014;63 265;Future Film;USA
Amazonia;Amazonia;7.11.2014;4 979;Vl-Media;RANSKA-BRASILIA
Interstellar;Interstellar;7.11.2014;141 774;FS Film Oy;USA-UK-KANADA
Luokkajuhla;Återträffen;7.11.2014;10 135;Cinema Mondo Oy;RUOTSI
Ruotsalainen hetki;Ruotsalainen hetki;7.11.2014;2 243;B-Plan Distribution;SUOMI
Fury;Fury;31.10.2014;57 101;The Walt Disney Company Nordic;USA-KIINA-UK
Lomasankarit;Lomasankarit;31.10.2014;47 123;Nordisk Film Theatrical Distribution Oy;SUOMI
Nightcrawler;Nightcrawler;31.10.2014;11 416;Future Film;USA
John Wick;John Wick;24.10.2014;12 298;Future Film;USA
Labyrintti;The Maze Runner;24.10.2014;68 057;FS Film Oy;USA
Lumiauramies;Kraftidioten;24.10.2014;3 826;Isla Sales;NORJA-RUOTSI
Niin se käy;And So It Goes;24.10.2014;4 142;Finnkino Oy;USA
Prinsessa Kaguyan taru;Kaguyahime no monogatari;23.10.2014;6 165;Cinema Mondo Oy;JAPANI
Annabelle;Annabelle;17.10.2014;36 541;FS Film Oy;USA
Antboy: muurahaispoika;Antboy;17.10.2014;923;Kinoscreen Illusion;TANSKA
Dracula Untold;Dracula Untold;17.10.2014;37 110;Finnkino Oy;USA
He ovat paenneet;He ovat paenneet;17.10.2014;3 093;FS Film Oy;SUOMI
Seitsemän sietämättömän pitkää päivää;This is Where I Leave You;17.10.2014;4 701;FS Film Oy;USA
A Most Wanted Man;A Most Wanted Man;10.10.2014;4 644;FS Film Oy;USA
Boyhood;Boyhood;10.10.2014;23 059;Finnkino Oy;USA
Muumit Rivieralla;Muumit Rivieralla;10.10.2014;174 193;Nordisk Film Theatrical Distribution Oy;SUOMI-RANSKA
Tracks;Tracks;10.10.2014;9 776;Cinema Mondo Oy;AUSTRALIA
Valekytät;Let's Be Cops;10.10.2014;34 190;FS Film Oy;USA
Raskautta ja anarkiaa;9 mois ferme;9.10.2014;1 003;Cinemanse;RANSKA
Billy Elliot the Musical Live;Billy Elliot the Musical Live;5.10.2014;14;Finnkino Oy;ENGLANTI
Kirjavaras;The Book Thief;4.10.2014;10 696;FS Film Oy;USA-SAKSA
Noah;Noah;4.10.2014;16 571;Finnkino Oy;USA
Noah 3D;Noah 3D;4.10.2014;45 940;Finnkino Oy;USA
The Lunchbox;Dabba;4.10.2014;8 491;Finnkino Oy;INTIA-RANSKA-SAKSA-USA
Gone Girl;Gone Girl;3.10.2014;67 363;FS Film Oy;USA
Ulvilan murhamysteeri;Ulvilan murhamysteeri;3.10.2014;2 423;First Floor Pro.;SUOMI
Vadelmavenepakolainen;Vadelmavenepakolainen;3.10.2014;110 448;Nordisk Film Theatrical Distribution Oy;SUOMI-RUOTSI
20,000 Days on Earth;20,000 Days on Earth;3.10.2014;4 618;Cinema Mondo Oy;ENGLANTI
Monsterimies;Monsterimies;26.9.2014;566;Vl-Media;SUOMI
Myrskyn silmässä;Into the Storm;26.9.2014;9 947;FS Film Oy;USA
The Equalizer : Oikeuden Puolustaja;The Equalizer;26.9.2014;23 192;The Walt Disney Company Nordic;USA
Boksitrollit;The Boxtrolls;19.9.2014;5 533;Finnkino Oy;USA
Boksitrollit 3D;The Boxtrolls 3D;19.9.2014;18 964;Finnkino Oy;USA
Tanssi haudoilla;A Walk Among the Tombstones;19.9.2014;11 553;Finnkino Oy;USA
As Above, So Below;As Above, So Below;12.9.2014;13 663;Finnkino Oy;USA
Palsa;Palsa;12.9.2014;1 793;Isla Sales;SUOMI
Shopping tour;Shoping-tur;12.9.2014;590;Black Lion Independent;VENÄJÄ-SUOMI
Viiru ja Pesonen: Pikkukepposia ja suurta y.;Pettersson und Findus - Kleiner Quälgeist, g.;12.9.2014;68 532;FS Film Oy;SAKSA
Brooklynin pojat;Brooklynin pojat;5.9.2014;393;Black Lion Independent;SUOMI
Clouds of Sils Maria;Clouds of Sils Maria;5.9.2014;9 068;Cinemanse;RANSKA-SVEITSI-SAKSA-USA-BELGIA
Jos vielä jään;If I Stay;5.9.2014;11 937;FS Film Oy;USA
Mielensäpahoittaja;Mielensäpahoittaja;5.9.2014;457 334;Nordisk Film Theatrical Distribution Oy;SUOMI
Taikojen talo;The House of Magic;5.9.2014;36 713;Snapper Films Distribution;BELGIA
Aikuisten poika;Aikuisten poika;29.8.2014;12 489;FS Film Oy;SUOMI
Herkullinen elämä;The Hundred Foot Journey;29.8.2014;20 466;Nordisk Film Theatrical Distribution Oy;INTIA-EMIRAATIT-USA
Magic in the Moonlight;Magic in the Moonlight;29.8.2014;19 450;Finnkino Oy;USA-ENGLANTI
The Congress;The Congress;29.8.2014;790;Future Film;ISRAEL-SAKSA
Viiltävä totuus;Avant l'hiver;29.8.2014;2 653;Isla Sales;RANSKA-LUXEMBURG
Diplomatia;Diplomatie;22.8.2014;4 899;Cinema Mondo Oy;RANSKA-SAKSA
Sin City: A Dame to Kill For;Sin City: A Dame to Kill For;22.8.2014;34 462;FS Film Oy;USA
Teenage Mutant Ninja Turtles;Teenage Mutant Ninja Turtles;22.8.2014;9 871;Finnkino Oy;USA
Teenage Mutant Ninja Turtles 3D;Teenage Mutant Ninja Turtles 3D;22.8.2014;36 450;Finnkino Oy;USA
22 Jump Street;22 Jump Street;22.8.2014;77 499;The Walt Disney Company Nordic;USA
Gloria;Gloria;15.8.2014;2 036;Atlantic Film Oy;CHILE-ESPANJA
Minisankarit - Ruohonjuuritasolla;Minuscule - La vallee des fourmis perdues;15.8.2014;26 949;Future Film;RANSKA
The Expendables 3;The Expendables 3;15.8.2014;72 414;Future Film;USA-RANSKA
What If;What If;15.8.2014;5 731;Finnkino Oy;IRLANTI-KANADA
Lucy;Lucy;8.8.2014;47 172;Finnkino Oy;RANSKA
Postimies Pate;Postman Pat: The Movie;8.8.2014;9 626;FS Film Oy;ENGLANTI
Pyöräretkellä Molièren kanssa;Alceste à bicyclette;8.8.2014;2 987;Cinema Mondo Oy;RANSKA-ITALIA
Sex Tape - kadonneen videon metsästys;Sex Tape;8.8.2014;33 551;The Walt Disney Company Nordic;USA
Step Up All In;Step Up All In;8.8.2014;10 843;Nordisk Film Theatrical Distribution Oy;USA
Guardians of the Galaxy;Guardians of the Galaxy;1.8.2014;100 994;The Walt Disney Company Nordic;USA-ENGLANTI
Hercules;Hercules;1.8.2014;13 471;FS Film Oy;USA
Kesäkaverit;Kesäkaverit;1.8.2014;129 473;Nordisk Film Theatrical Distribution Oy;SUOMI
The Invisible Woman: Kielletty rakkaus;The Invisible Woman;1.8.2014;5 532;Snapper Films Distribution;ENGLANTI
Deliver us from evil - päästä meidät pahasta;Deliver us from evil;25.7.2014;9 734;The Walt Disney Company Nordic;USA
Lentsikat 2: Pelastajat;Planes 2;25.7.2014;66 872;The Walt Disney Company Nordic;USA
Apinoiden planeetan vallankumous;Dawn of the Planet of the Apes;18.7.2014;49 237;FS Film Oy;USA
Puhdistuksen yö: Anarkia;The Purge: Anarchy;18.7.2014;4 993;Finnkino Oy;USA-RANSKA
Naapurit;Neighbors;11.7.2014;49 106;Finnkino Oy;USA
Snowpiercer;Snowpiercer;11.7.2014;17 723;Future Film;ETELÄ-KOREA-TSEKKI-USA-RANSKA
Tähtiin kirjoitettu virhe;The Fault in Our Stars;11.7.2014;95 859;FS Film Oy;USA
Näin koulutat lohikäärmeesi 2;How to Train Your Dragon 2;4.7.2014;92 598;FS Film Oy;USA
Uusia alkuja;Begin Again;4.7.2014;9 163;FS Film Oy;USA
Lomapainajainen;Blended;27.6.2014;14 997;FS Film Oy;USA
Transformers - Tuhon aikakausi;Transformers: Age of Extinction;27.6.2014;23 937;Finnkino Oy;USA-KIINA
Transformers - Tuhon aikakausi 3D;Transformers: Age of Extinction 3D;27.6.2014;71 576;Finnkino Oy;USA-KIINA
Walking on Sunshine;Walking on Sunshine;27.6.2014;8 264;Nordisk Film Theatrical Distribution Oy;ENGLANTI
The Salvation;The Salvation;25.6.2014;4 993;Atlantic Film Oy;TANSKA-UK
Violette;Violette;25.6.2014;4 775;Cinema Mondo Oy;RANSKA-BELGIA
The Double;The Double;22.6.2014;4 524;Kuusan Kino;ENGLANTI
The Rover;The Rover;20.6.2014;0;Nordisk Film Theatrical Distribution Oy;AUSTRALIA-USA
Nurse 3D;Nurse 3D;13.6.2014;32;Future Film;USA
Bamse ja rosvokaupunki;Bamse och tjuvstaden;6.6.2014;22 260;Nordisk Film Theatrical Distribution Oy;RUOTSI
Linna Italiassa;Un château en Italie;4.6.2014;4 078;Cinema Mondo Oy;RANSKA
Miljoona tapaa kuolla lännessä;A Million Ways to Die in the West;30.5.2014;41 567;Finnkino Oy;USA
Edge of Tomorrow;Edge of Tomorrow;28.5.2014;55 199;FS Film Oy;USA-KANADA
Maleficent - Pahatar;Maleficent;28.5.2014;113 114;The Walt Disney Company Nordic;USA-ENGLANTI
X-Men: Days of Future Past;X-Men: Days of Future Past;23.5.2014;67 334;FS Film Oy;USA-ENGLANTI
Grace of Monaco;Grace of Monaco;16.5.2014;25 866;Finnkino Oy;RANSKA-USA
Locke;Locke;16.5.2014;9 228;FS Film Oy;ENGLANTI-USA
Godzilla 3D;Godzilla 3D;14.5.2014;53 904;FS Film Oy;USA-JAPANI
Koomikot;The Clownvise;9.5.2014;474;Nordisk Film Theatrical Distribution Oy;SLOVAKIA-LUXEMBURG-TSEKKI-SUOMI
Love & engineering - rakkauden insinöörit;Love & Engineering;9.5.2014;554;SUOMEN Elokuvakontakti R;SUOMI-SAKSA
Wetlands - kosteikkoja;Feuchtgebiete;9.5.2014;882;Future Film;SAKSA
Brick Mansions;Brick Mansions;2.5.2014;15 984;Finnkino Oy;RANSKA-KANADA
Hokkus Pokkus Mikko Mallikas;Hokus pokus Albert Åberg;2.5.2014;13 640;Nordisk Film Theatrical Distribution Oy;NORJA
Pompeji 3D;Pompeii 3D;2.5.2014;15 345;Nordisk Film Theatrical Distribution Oy;KANADA-SAKSA-USA
Tolonen;Tolonen;2.5.2014;1 765;Pirkanmaan Elokuvakeskus;SUOMI
Tuhat kertaa hyvää yötä;Tusen ganger god natt;2.5.2014;7 654;Atlantic Film Oy;NORJA-IRLANTI-RUOTSI
Yves Saint Laurent;Yves Saint Laurent;2.5.2014;11 124;FS Film Oy;RANSKA-BELGIA
Amazing Spider Man 2;Amazing Spider Man 2;25.4.2014;61 271;The Walt Disney Company Nordic;USA
Fading Gigolo;Fading Gigolo;25.4.2014;9 219;FS Film Oy;USA
Se toinen nainen;The Other Woman;25.4.2014;88 176;FS Film Oy;USA
Venus in Fur;La Vénus á la Fourrure;25.4.2014;565;Nordisk Film Theatrical Distribution Oy;RANSKA-PUOLA
Huikopeli;The Starving Games;18.4.2014;4 586;Future Film;USA
Suuri kauneus;La grande bellezza;18.4.2014;24 456;Cinema Mondo Oy;ITALIA-RANSKA
The Raid 2: Berandal;The Raid 2: Berandal;18.4.2014;3 174;Future Film;INDONESIA-USA
Transcendence;Transcendence;18.4.2014;30 218;Nordisk Film Theatrical Distribution Oy;UK-KIINA-USA
Calvary;Calvary;11.4.2014;0;FS Film Oy;IRLANTI-UK
Laulu;Laulu;11.4.2014;1 131;Black Lion Independent;SUOMI
Rio 2;Rio 2;11.4.2014;161 590;FS Film Oy;USA
Romanssi;Romanssi;11.4.2014;1 350;Vl-Media;SUOMI
The Grand Budapest Hotel;The Grand Budapest Hotel;11.4.2014;84 565;FS Film Oy;USA-SAKSA-UK
Divergent - Outolintu;Divergent;9.4.2014;79 651;Nordisk Film Theatrical Distribution Oy;USA
Muutoksii;Muutoksii;4.4.2014;15 958;Pirkanmaan Elokuvakeskus;SUOMI
Tuuli nousee;Kaze tachinu;4.4.2014;23 501;Cinema Mondo Oy;JAPANI
Näin unta elämästä;Näin unta elämästä;28.3.2014;2 222;Pirkanmaan Elokuvakeskus;SUOMI
The Railway Man;The Railway Man;28.3.2014;4 815;Future Film;AUSTRALIA-UK-SVEITSI
Captain America: The Return of the First Avenger;Captain America : Winter Soldier;26.3.2014;58 029;The Walt Disney Company Nordic;USA
Isänsä poika;Soshite chichi ni naru;21.3.2014;7 183;Cinema Mondo Oy;JAPANI
Le Week-End;Le Week-End;21.3.2014;9 302;FS Film Oy;UK-RANSKA
Non-Stop;Non-Stop;21.3.2014;37 303;FS Film Oy;UK-RANSKA-USA
Only Lovers Left Alive;Only Lovers Left Alive;21.3.2014;8 372;Kuusan Kino;SAKSA-UK-RANSKA-KREIKKA
Need for Speed;Need for Speed;14.3.2014;34 152;Nordisk Film Theatrical Distribution Oy;USA-FILIPPIINIT-IRLANTI-UK
Presidentintekijät;Presidentintekijät;14.3.2014;10 692;FS Film Oy;SUOMI
Saving Mr. Banks;Saving Mr. Banks;14.3.2014;6 683;The Walt Disney Company Nordic;USA-UK-AUSTRALIA
American Hustle;American Hustle;7.3.2014;52 957;Future Film;USA
Eedenistä pohjoiseen;Eedenistä pohjoiseen;7.3.2014;14 872;Isla Sales;SUOMI
Herra Peabody & Sherman;Mr. Peabody & Sherman;7.3.2014;59 131;FS Film Oy;USA
300: Imperiumin nousu;300: Rise of an Empire;7.3.2014;29 107;FS Film Oy;USA
Inside Llewyn Davis;Inside Llewyn Davis;28.2.2014;7 150;Future Film;USA-ENGLANTI-RANSKA
Korso;Korso;28.2.2014;10 789;B-Plan Distribution;SUOMI
Nebraska;Nebraska;28.2.2014;3 032;The Walt Disney Company Nordic;USA
Perhe - August: Osage County;August: Osage County;28.2.2014;22 364;Finnkino Oy;USA
Helinä Keiju ja Merirosvokeiju;Tinker Bell: The Pirate Fairy;21.2.2014;49 766;The Walt Disney Company Nordic;USA
Isabelle: nuori & kaunis;Jeune & jolie;21.2.2014;2 673;Cinema Mondo Oy;RANSKA
Sinkkuna suhteessa;That Awkward Moment;21.2.2014;21 176;Nordisk Film Theatrical Distribution Oy;USA
Talvinen tarina;Winter's tale;21.2.2014;6 655;FS Film Oy;USA
Kummeli V;Kummeli V;19.2.2014;178 345;Nordisk Film Theatrical Distribution Oy;SUOMI
Isac Elliot - Dream Big The Movie;Isac Elliot - Dream Big The Movie;14.2.2014;5 982;Isla Sales;SUOMI
Lego elokuva;The Lego Movie;14.2.2014;138 628;FS Film Oy;USA
Lone Survivor;Lone Survivor;14.2.2014;10 311;Future Film;USA
Mandela: Pitkä tie vapauteen;Mandela: Long Walk to Freedom;14.2.2014;8 741;Finnkino Oy;ENGLANTI-ETELÄ-AFRIKKA
Robocop;Robocop;14.2.2014;22 282;FS Film Oy;USA
Her;Her;7.2.2014;17 362;The Walt Disney Company Nordic;USA
Nymphomaniac vol. 2;Nymphomaniac vol. 2;7.2.2014;6 188;Nordisk Film Theatrical Distribution Oy;TANSKA
Nymphomaniac volume 1;Nymphomaniac volume 1;7.2.2014;7 584;Nordisk Film Theatrical Distribution Oy;TANSKA
Risto Räppääjä ja Liukas Lennart;Risto Räppääjä ja Liukas Lennart;7.2.2014;265 615;The Walt Disney Company Nordic;SUOMI
Mies joka antoi;Delivery Man;31.1.2014;28 250;Nordisk Film Theatrical Distribution Oy;USA
One chance;One chance;31.1.2014;0;FS Film Oy;ENGLANTI
Philomena;Philomena;31.1.2014;55 500;Scanbox Finland Oy;ENGLANTI-USA
The Dallas Buyers Club;The Dallas Buyers Club;31.1.2014;29 703;Future Film;USA
Anselmi Nuori ihmissusi;Anselmi Nuori ihmissusi;24.1.2014;4 931;Black Lion Independent;SUOMI
Jack Ryan: Shadow Recruit;Jack Ryan: Shadow Recruit;24.1.2014;17 744;Finnkino Oy;USA
Rautakaupunki;Out of the Furnace;24.1.2014;1 708;Future Film;USA
12 years a slave;12 years a slave;24.1.2014;103 367;FS Film Oy;USA
Homefront;Homefront;17.1.2014;7 016;Future Film;USA
Onneli ja Anneli;Onneli ja Anneli;17.1.2014;177 161;Nordisk Film Theatrical Distribution Oy;SUOMI
Vangitut;Prisoners;17.1.2014;9 113;Nordisk Film Theatrical Distribution Oy;USA
Ei Kiitos;Ei Kiitos;10.1.2014;127 181;FS Film Oy;SUOMI
Oldboy;Oldboy;10.1.2014;3 004;Future Film;USA
Paranormal Activity: Merkityt;Paranormal Activity: The Marked Ones;10.1.2014;19 133;Finnkino Oy;USA
Justin Bieber's Believe;Justin Bieber's Believe;3.1.2014;17 066;Nordisk Film Theatrical Distribution Oy;USA
Legendat kehässä;Grudge match;3.1.2014;7 854;FS Film Oy;USA
Sademetsän tarina;Il était une forêt;3.1.2014;7 640;Cinema Mondo Oy;RANSKA
