"","Aa","Ab","Ac","Ad","Ae","Af","ST01","SU02","D03","ST04","SU05","D06","D07","SU08","ST09","SU10","D11","ST12","SU13","D14","D15","SU16","ST17","SU18","D19","ST20","SU21","D22","D23","SU24","ST25","SU26","D27","ST28","SU29","D30","D31","SU32","Ca","Cb","Cc","Cd","Ce","Cf","Cg","Ch","Da","Db","Dc","Dd","De","Df","Dg","Dh","Di","Dj","age","attitude","points","gender","deep","surf","stra"
"1",3,1,2,1,1,1,4,2,4,4,2,4,4,3,3,2,3,3,3,4,3,2,3,2,4,2,3,3,2,2,4,4,4,4,3,4,4,3,2,4,3,4,3,2,3,4,3,4,4,5,4,2,4,3,4,4,53,3.7,25,"F",3.58333333333333,2.58333333333333,3.375
"2",2,2,2,2,1,1,4,2,4,4,4,2,3,4,4,1,4,1,3,2,3,4,4,2,3,1,2,2,3,4,2,4,2,2,3,3,4,5,4,4,4,5,5,3,2,4,4,3,3,4,3,2,3,3,2,4,55,3.1,12,"M",2.91666666666667,3.16666666666667,2.75
"3",4,1,1,1,1,1,3,1,4,4,2,3,4,1,3,1,4,4,2,4,2,3,3,1,4,3,2,4,3,3,4,4,3,5,2,4,3,5,3,5,4,4,3,4,4,2,1,4,4,1,4,1,3,1,1,5,49,2.5,24,"F",3.5,2.25,3.625
"4",4,2,3,2,1,1,3,3,4,4,3,4,4,2,3,1,3,3,2,4,3,2,3,1,3,3,3,3,3,2,3,2,3,3,3,4,4,3,3,4,4,4,3,4,4,3,2,4,5,2,5,1,5,4,2,5,53,3.5,10,"M",3.5,2.25,3.125
"5",3,2,2,1,2,1,4,2,5,3,4,4,4,3,4,2,4,2,3,4,3,3,4,1,4,3,2,3,3,4,4,3,3,5,3,3,4,4,2,4,4,3,3,3,4,4,3,4,4,4,4,2,5,5,3,3,49,3.7,22,"M",3.66666666666667,2.83333333333333,3.625
"6",4,2,1,1,1,1,4,3,5,4,3,5,5,4,4,1,5,3,1,5,4,2,3,2,4,3,4,5,4,2,4,2,5,4,2,5,5,3,3,5,4,4,3,4,5,4,3,5,4,4,4,3,4,3,3,5,38,3.8,21,"F",4.75,2.41666666666667,3.625
"7",4,1,2,2,1,1,5,2,4,2,2,3,4,4,2,1,5,2,1,5,2,3,4,1,4,1,1,4,3,2,1,1,4,1,1,4,4,4,4,5,4,4,4,5,5,3,2,4,4,5,5,1,4,4,2,4,50,3.5,21,"M",3.83333333333333,1.91666666666667,2.25
"8",3,1,2,1,1,1,4,2,4,5,4,3,4,2,4,2,3,4,2,4,2,3,3,2,4,4,3,2,2,4,4,4,4,4,2,3,4,4,2,4,4,5,3,3,3,3,2,4,4,3,4,1,4,1,1,5,37,2.9,31,"F",3.25,2.83333333333333,4
"9",2,1,2,1,1,1,4,1,5,5,2,4,5,4,4,1,4,4,1,4,3,4,4,1,5,4,2,4,4,2,4,4,5,5,1,4,5,3,3,5,4,5,3,3,5,5,4,2,4,5,4,4,5,4,4,2,37,3.8,24,"M",4.33333333333333,2.16666666666667,4.25
"10",3,2,1,1,1,2,4,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,2,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,5,4,4,4,4,1,4,4,2,2,1,1,1,1,4,42,2.1,26,"F",4,3,3.5
"11",2,2,2,2,2,2,4,2,4,4,4,4,4,2,4,2,4,4,3,4,3,3,3,2,3,3,2,3,4,4,3,2,3,4,2,3,4,4,3,3,4,4,4,3,3,3,3,4,5,4,4,4,4,4,3,4,37,3.9,31,"M",3.58333333333333,2.66666666666667,3.625
"12",5,1,2,1,1,1,5,1,4,5,3,4,4,1,5,2,4,4,1,4,4,4,5,1,3,4,2,3,3,4,5,4,5,5,1,3,5,5,3,4,5,3,5,3,4,3,3,4,4,5,4,2,3,5,4,4,34,3.8,31,"F",3.83333333333333,2.41666666666667,4.75
"13",4,1,3,1,1,2,5,2,5,4,2,4,5,1,4,2,5,4,2,5,4,1,3,2,4,3,2,4,4,2,4,4,4,2,3,3,4,4,3,5,5,3,4,4,4,3,2,4,3,1,4,1,2,2,1,4,34,2.4,23,"F",4.25,2.25,3.625
"14",2,1,3,1,1,1,4,4,3,3,2,4,4,2,4,1,2,3,2,4,2,3,4,2,4,2,4,4,2,4,4,4,2,4,3,5,4,2,2,5,2,3,3,4,5,4,2,5,5,2,4,1,3,2,1,5,34,3,25,"F",3.33333333333333,2.75,3.5
