Tukityyppi nimi;Elokuvan lajityyppi;Tukihak päätöspvm;Esittelijä nimi;Tuenhakijan nimi;Tukihakemuksen kohde;Tukihakakemuksen päätöseur
50/50-tuotantotuki;Pitkä lasten ja nuorten elokuva;5.4.2012;Kaisu Isto;MRP Matila Röhr Productions Oy;Rölli ja kultainen avain;700 000
50/50-tuotantotuki;Pitkä näytelmäelokuva;2.4.2015;Marjo Valve;Helsinki-filmi Oy;Onnenonkija;620 000
50/50-tuotantotuki;Pitkä näytelmäelokuva;2.4.2014;Marjo Valve;Dionysos Films Oy;Viikossa aikuiseksi;730 000
50/50-tuotantotuki;Pitkä näytelmäelokuva;2.4.2014;Marjo Valve;Kinosto Oy;Eila, Rampe ja Likka;610 000
50/50-tuotantotuki;Pitkä näytelmäelokuva;2.4.2014;Marjo Valve;Solar Films Inc. Oy;VARES - SERIFFI;530 000
50/50-tuotantotuki;Pitkä näytelmäelokuva;23.10.2013;Hannu Tuomainen;FremantleMedia Finland Oy;NM2 (TYÖNIMI);290 000
50/50-tuotantotuki;Pitkä näytelmäelokuva;23.10.2013;Hannu Tuomainen;Marianna Films Oy;Elämältä kaiken sain (ent. Kotiinpaluu);580 000
50/50-tuotantotuki;Pitkä näytelmäelokuva;23.10.2013;Hannu Tuomainen;Solar Films Inc. Oy;KÄTILÖ;800 000
50/50-tuotantotuki;Pitkä näytelmäelokuva;5.4.2012;Kaisu Isto;Helsinki-filmi Oy;LEIJONASYDÄN;750 000
50/50-tuotantotuki;Pitkä näytelmäelokuva;5.4.2012;Kaisu Isto;Art Films production AFP Oy;Isänmaallinen mies;740 000
50/50-tuotantotuki;Pitkä näytelmäelokuva;17.10.2011;Kaisu Isto;Solar Films Inc. Oy;Kaappari (ent. Pitkäperjantai);550 000
50/50-tuotantotuki;Pitkä näytelmäelokuva;17.10.2011;Kaisu Isto;Dictator Films Oy;Juoppohullun päiväkirja;500 000
50/50-tuotantotuki;Pitkä näytelmäelokuva;17.10.2011;Kaisu Isto;Artista Filmi Oy;Vuonna 85;800 000
50/50-tuotantotuki;Pitkä lasten ja nuorten elokuva;2.4.2015;Marjo Valve;Artista Filmi Oy;Risto Räppääjä ja yöhaukka;800 000
50/50-tuotantotuki;Pitkä lasten ja nuorten elokuva;2.4.2014;Marjo Valve;Artista Filmi Oy;Risto Räppääjä ja Sevillan saituri;560 000
50/50-tuotantotuki;Pitkä lasten ja nuorten elokuva;23.10.2013;Hannu Tuomainen;Yellow Film & TV Oy;Lomasankarit ( ent. Seikkailu Kreikassa);585 000
50/50-tuotantotuki;Pitkä lasten ja nuorten elokuva;5.4.2012;Kaisu Isto;FremantleMedia Finland Oy;Ei maata näkyvissä;200 000
50/50-tuotantotuki;Pitkä lasten ja nuorten elokuva;17.10.2011;Kaisu Isto;Snapper Films Oy;Ella ja kaverit;400 000
Digitaalisen jakelun tuki;;19.12.2011;Harri Ahokas;Kristallisilmä Oy;MISSÄ ON MISSÄ? Ahtila Eija-Liisa/verkkojakelu;4 932
Digitaalisen tallenteen markkinointi- ja levitystuki;;26.11.2015;Harri Ahokas;VLMedia Oy;Toiset tytöt;2 350
Digitaalisen tallenteen markkinointi- ja levitystuki;;18.11.2015;Harri Ahokas;Oy Atlantic Film Finland Ab;Armi elää! (DVD, VOD);10 000
Digitaalisen tallenteen markkinointi- ja levitystuki;;18.11.2015;Harri Ahokas;Oy Atlantic Film Finland Ab;Ruotsalainen hetki;2 300
Digitaalisen tallenteen markkinointi- ja levitystuki;;18.11.2015;Harri Ahokas;VLMedia Oy;Herra Puntila ja hänen renkinsä Matti;2 100
Digitaalisen tallenteen markkinointi- ja levitystuki;;18.11.2015;Harri Ahokas;VLMedia Oy;Meren kasvojen edessä;746
Digitaalisen tallenteen markkinointi- ja levitystuki;;4.6.2015;Harri Ahokas;VLMedia Oy;2 hauskaa vekkulia;1 000
